case_id,source_solver,geometry_id,temperature_C,slice_id,id_RMS_A,iq_RMS_A,current_magnitude_RMS_A,current_angle_deg,torque_Nm,psiD_Wb,psiQ_Wb,Ld_H,Lq_H,Bmax_T,converged,solver_iterations,runtime_s,model_hash,config_hash
FEMM_EX_001,FEMM,oneEighth_reference_v1,100.0,4slice_average,-30.0,40.0,50.0,-36.9,22.38962276205184,0.0371378039263216,0.016627064210731,0.0001159148861169,0.0004156766052682,,True,,,reference,reference
FEMM_EX_002,FEMM,oneEighth_reference_v1,100.0,4slice_average,-60.0,40.0,72.1,-56.3,25.770189843593204,0.0337069255432498,0.0169350856436983,0.0001151387338783,0.0004233771410924,,True,,,reference,reference
FEMM_EX_003,FEMM,oneEighth_reference_v1,100.0,4slice_average,-90.0,40.0,98.5,-66.0,29.05276562648557,0.0303157627033825,0.0172132883336639,0.0001144387534492,0.0004303322083415,,True,,,reference,reference
FEMM_EX_004,FEMM,oneEighth_reference_v1,100.0,4slice_average,-120.0,40.0,126.5,-71.6,32.22136091209452,0.0269616835731598,0.0174783844253643,0.0001137797369464,0.0004369596106341,,True,,,reference,reference
FEMM_EX_005,FEMM,oneEighth_reference_v1,100.0,4slice_average,-30.0,80.0,85.4,-20.6,44.63373533590919,0.0372076978954206,0.0290483876352286,0.0001140917648365,0.0003631048454403,,True,,,reference,reference
FEMM_EX_006,FEMM,oneEighth_reference_v1,100.0,4slice_average,-60.0,80.0,100.0,-36.9,50.86025683654508,0.0338120124975839,0.0292159749134913,0.0001136406525516,0.0003651996864186,,True,,,reference,reference
FEMM_EX_007,FEMM,oneEighth_reference_v1,100.0,4slice_average,-90.0,80.0,120.4,-48.4,56.88843559824771,0.030447394716622,0.0293614705699992,0.000113145075544,0.0003670183821249,,True,,,reference,reference
FEMM_EX_008,FEMM,oneEighth_reference_v1,100.0,4slice_average,-120.0,80.0,144.2,-56.3,62.719855050993495,0.0271159680072651,0.0294921521908411,0.0001126207056966,0.0003686519023855,,True,,,reference,reference
FEMM_EX_009,FEMM,oneEighth_reference_v1,100.0,4slice_average,-30.0,120.0,123.7,-14.0,66.53630006619332,0.0371914604242253,0.0396413328186871,0.000110880317451,0.0003303444401557,,True,,,reference,reference
FEMM_EX_010,FEMM,oneEighth_reference_v1,100.0,4slice_average,-60.0,120.0,134.2,-26.6,75.38256943543547,0.0338536674818141,0.0397298127185699,0.0001110700178113,0.0003310817726547,,True,,,reference,reference
FEMM_EX_011,FEMM,oneEighth_reference_v1,100.0,4slice_average,-90.0,120.0,150.0,-36.9,84.01438461523583,0.0305312107448157,0.0397843615642667,0.0001109628756395,0.0003315363463688,,True,,,reference,reference
FEMM_EX_012,FEMM,oneEighth_reference_v1,100.0,4slice_average,-120.0,120.0,169.7,-45.0,92.35836429669196,0.0272298914567286,0.0398149746023679,0.0001107331542747,0.0003317914550197,,True,,,reference,reference
FEMM_EX_013,FEMM,oneEighth_reference_v1,100.0,4slice_average,-30.0,160.0,162.8,-10.6,87.85922513323565,0.0369421838065487,0.048254181889314,0.0001031805892794,0.0003015886368082,,True,,,reference,reference
FEMM_EX_014,FEMM,oneEighth_reference_v1,100.0,4slice_average,-60.0,160.0,170.9,-20.6,98.90269422519316,0.0337724287366589,0.0485469074649754,0.0001044195204763,0.000303418171656,,True,,,reference,reference
FEMM_EX_015,FEMM,oneEighth_reference_v1,100.0,4slice_average,-90.0,160.0,183.6,-29.4,109.78669347016177,0.0305591317264076,0.0487049327033773,0.0001053163271646,0.0003044058293961,,True,,,reference,reference
FEMM_EX_016,FEMM,oneEighth_reference_v1,100.0,4slice_average,-120.0,160.0,200.0,-36.9,120.36345969296798,0.0273271493057389,0.0487624678587256,0.0001059204305927,0.000304765424117,,True,,,reference,reference
